COMENT1                 : File generated by
COMENT2                 : Hidromod
 
 
 ILB_IUB    :           1         131
 JLB_JUB    :           1         179
 COORD_TIP  :           4
 ORIGIN     :  0.0000000E+00  0.0000000E+00
 GRID_ANGLE :  0.0000000E+00
 LATITUDE   :   45.00000    
 LONGITUDE  :  -8.000000    
 FILL_VALUE :  -99.00000    
 
 
 <CornersXY>
  -44.95834      -9.958334    
  -44.87500      -9.958334    
  -44.79166      -9.958334    
  -44.70834      -9.958334    
  -44.62500      -9.958334    
  -44.54166      -9.958334    
  -44.45834      -9.958334    
  -44.37500      -9.958334    
  -44.29166      -9.958334    
  -44.20834      -9.958334    
  -44.12500      -9.958334    
  -44.04166      -9.958334    
  -43.95834      -9.958334    
  -43.87500      -9.958334    
  -43.79166      -9.958334    
  -43.70834      -9.958334    
  -43.62500      -9.958334    
  -43.54166      -9.958334    
  -43.45834      -9.958334    
  -43.37500      -9.958334    
  -43.29166      -9.958334    
  -43.20834      -9.958334    
  -43.12500      -9.958334    
  -43.04166      -9.958334    
  -42.95834      -9.958334    
  -42.87500      -9.958334    
  -42.79166      -9.958334    
  -42.70834      -9.958334    
  -42.62500      -9.958334    
  -42.54166      -9.958334    
  -42.45834      -9.958334    
  -42.37500      -9.958334    
  -42.29166      -9.958334    
  -42.20834      -9.958334    
  -42.12500      -9.958334    
  -42.04166      -9.958334    
  -41.95834      -9.958334    
  -41.87500      -9.958334    
  -41.79166      -9.958334    
  -41.70834      -9.958334    
  -41.62500      -9.958334    
  -41.54166      -9.958334    
  -41.45834      -9.958334    
  -41.37500      -9.958334    
  -41.29166      -9.958334    
  -41.20834      -9.958334    
  -41.12500      -9.958334    
  -41.04166      -9.958334    
  -40.95834      -9.958334    
  -40.87500      -9.958334    
  -40.79166      -9.958334    
  -40.70834      -9.958334    
  -40.62500      -9.958334    
  -40.54166      -9.958334    
  -40.45834      -9.958334    
  -40.37500      -9.958334    
  -40.29166      -9.958334    
  -40.20834      -9.958334    
  -40.12500      -9.958334    
  -40.04166      -9.958334    
  -39.95834      -9.958334    
  -39.87500      -9.958334    
  -39.79166      -9.958334    
  -39.70834      -9.958334    
  -39.62500      -9.958334    
  -39.54166      -9.958334    
  -39.45834      -9.958334    
  -39.37500      -9.958334    
  -39.29166      -9.958334    
  -39.20834      -9.958334    
  -39.12500      -9.958334    
  -39.04166      -9.958334    
  -38.95834      -9.958334    
  -38.87500      -9.958334    
  -38.79166      -9.958334    
  -38.70834      -9.958334    
  -38.62500      -9.958334    
  -38.54166      -9.958334    
  -38.45834      -9.958334    
  -38.37500      -9.958334    
  -38.29166      -9.958334    
  -38.20834      -9.958334    
  -38.12500      -9.958334    
  -38.04166      -9.958334    
  -37.95834      -9.958334    
  -37.87500      -9.958334    
  -37.79166      -9.958334    
  -37.70834      -9.958334    
  -37.62500      -9.958334    
  -37.54166      -9.958334    
  -37.45834      -9.958334    
  -37.37500      -9.958334    
  -37.29166      -9.958334    
  -37.20834      -9.958334    
  -37.12500      -9.958334    
  -37.04166      -9.958334    
  -36.95834      -9.958334    
  -36.87500      -9.958334    
  -36.79166      -9.958334    
  -36.70834      -9.958334    
  -36.62500      -9.958334    
  -36.54166      -9.958334    
  -36.45834      -9.958334    
  -36.37500      -9.958334    
  -36.29166      -9.958334    
  -36.20834      -9.958334    
  -36.12500      -9.958334    
  -36.04166      -9.958334    
  -35.95834      -9.958334    
  -35.87500      -9.958334    
  -35.79166      -9.958334    
  -35.70834      -9.958334    
  -35.62500      -9.958334    
  -35.54166      -9.958334    
  -35.45834      -9.958334    
  -35.37500      -9.958334    
  -35.29166      -9.958334    
  -35.20834      -9.958334    
  -35.12500      -9.958334    
  -35.04166      -9.958334    
  -34.95834      -9.958334    
  -34.87500      -9.958334    
  -34.79166      -9.958334    
  -34.70834      -9.958334    
  -34.62500      -9.958334    
  -34.54166      -9.958334    
  -34.45834      -9.958334    
  -34.37500      -9.958334    
  -34.29166      -9.958334    
  -34.20834      -9.958334    
  -34.12500      -9.958334    
  -34.04166      -9.958334    
  -33.95834      -9.958334    
  -33.87500      -9.958334    
  -33.79166      -9.958334    
  -33.70834      -9.958334    
  -33.62500      -9.958334    
  -33.54166      -9.958334    
  -33.45834      -9.958334    
  -33.37500      -9.958334    
  -33.29166      -9.958334    
  -33.20834      -9.958334    
  -33.12500      -9.958334    
  -33.04166      -9.958334    
  -32.95834      -9.958334    
  -32.87500      -9.958334    
  -32.79166      -9.958334    
  -32.70834      -9.958334    
  -32.62500      -9.958334    
  -32.54166      -9.958334    
  -32.45834      -9.958334    
  -32.37500      -9.958334    
  -32.29166      -9.958334    
  -32.20834      -9.958334    
  -32.12500      -9.958334    
  -32.04166      -9.958334    
  -31.95833      -9.958334    
  -31.87500      -9.958334    
  -31.79167      -9.958334    
  -31.70833      -9.958334    
  -31.62500      -9.958334    
  -31.54167      -9.958334    
  -31.45833      -9.958334    
  -31.37500      -9.958334    
  -31.29167      -9.958334    
  -31.20833      -9.958334    
  -31.12500      -9.958334    
  -31.04167      -9.958334    
  -30.95833      -9.958334    
  -30.87500      -9.958334    
  -30.79167      -9.958334    
  -30.70833      -9.958334    
  -30.62500      -9.958334    
  -30.54167      -9.958334    
  -30.45833      -9.958334    
  -30.37500      -9.958334    
  -30.29167      -9.958334    
  -30.20833      -9.958334    
  -30.12500      -9.958334    
  -30.04167      -9.958334    
  -44.95834      -9.875000    
  -44.87500      -9.875000    
  -44.79166      -9.875000    
  -44.70834      -9.875000    
  -44.62500      -9.875000    
  -44.54166      -9.875000    
  -44.45834      -9.875000    
  -44.37500      -9.875000    
  -44.29166      -9.875000    
  -44.20834      -9.875000    
  -44.12500      -9.875000    
  -44.04166      -9.875000    
  -43.95834      -9.875000    
  -43.87500      -9.875000    
  -43.79166      -9.875000    
  -43.70834      -9.875000    
  -43.62500      -9.875000    
  -43.54166      -9.875000    
  -43.45834      -9.875000    
  -43.37500      -9.875000    
  -43.29166      -9.875000    
  -43.20834      -9.875000    
  -43.12500      -9.875000    
  -43.04166      -9.875000    
  -42.95834      -9.875000    
  -42.87500      -9.875000    
  -42.79166      -9.875000    
  -42.70834      -9.875000    
  -42.62500      -9.875000    
  -42.54166      -9.875000    
  -42.45834      -9.875000    
  -42.37500      -9.875000    
  -42.29166      -9.875000    
  -42.20834      -9.875000    
  -42.12500      -9.875000    
  -42.04166      -9.875000    
  -41.95834      -9.875000    
  -41.87500      -9.875000    
  -41.79166      -9.875000    
  -41.70834      -9.875000    
  -41.62500      -9.875000    
  -41.54166      -9.875000    
  -41.45834      -9.875000    
  -41.37500      -9.875000    
  -41.29166      -9.875000    
  -41.20834      -9.875000    
  -41.12500      -9.875000    
  -41.04166      -9.875000    
  -40.95834      -9.875000    
  -40.87500      -9.875000    
  -40.79166      -9.875000    
  -40.70834      -9.875000    
  -40.62500      -9.875000    
  -40.54166      -9.875000    
  -40.45834      -9.875000    
  -40.37500      -9.875000    
  -40.29166      -9.875000    
  -40.20834      -9.875000    
  -40.12500      -9.875000    
  -40.04166      -9.875000    
  -39.95834      -9.875000    
  -39.87500      -9.875000    
  -39.79166      -9.875000    
  -39.70834      -9.875000    
  -39.62500      -9.875000    
  -39.54166      -9.875000    
  -39.45834      -9.875000    
  -39.37500      -9.875000    
  -39.29166      -9.875000    
  -39.20834      -9.875000    
  -39.12500      -9.875000    
  -39.04166      -9.875000    
  -38.95834      -9.875000    
  -38.87500      -9.875000    
  -38.79166      -9.875000    
  -38.70834      -9.875000    
  -38.62500      -9.875000    
  -38.54166      -9.875000    
  -38.45834      -9.875000    
  -38.37500      -9.875000    
  -38.29166      -9.875000    
  -38.20834      -9.875000    
  -38.12500      -9.875000    
  -38.04166      -9.875000    
  -37.95834      -9.875000    
  -37.87500      -9.875000    
  -37.79166      -9.875000    
  -37.70834      -9.875000    
  -37.62500      -9.875000    
  -37.54166      -9.875000    
  -37.45834      -9.875000    
  -37.37500      -9.875000    
  -37.29166      -9.875000    
  -37.20834      -9.875000    
  -37.12500      -9.875000    
  -37.04166      -9.875000    
  -36.95834      -9.875000    
  -36.87500      -9.875000    
  -36.79166      -9.875000    
  -36.70834      -9.875000    
  -36.62500      -9.875000    
  -36.54166      -9.875000    
  -36.45834      -9.875000    
  -36.37500      -9.875000    
  -36.29166      -9.875000    
  -36.20834      -9.875000    
  -36.12500      -9.875000    
  -36.04166      -9.875000    
  -35.95834      -9.875000    
  -35.87500      -9.875000    
  -35.79166      -9.875000    
  -35.70834      -9.875000    
  -35.62500      -9.875000    
  -35.54166      -9.875000    
  -35.45834      -9.875000    
  -35.37500      -9.875000    
  -35.29166      -9.875000    
  -35.20834      -9.875000    
  -35.12500      -9.875000    
  -35.04166      -9.875000    
  -34.95834      -9.875000    
  -34.87500      -9.875000    
  -34.79166      -9.875000    
  -34.70834      -9.875000    
  -34.62500      -9.875000    
  -34.54166      -9.875000    
  -34.45834      -9.875000    
  -34.37500      -9.875000    
  -34.29166      -9.875000    
  -34.20834      -9.875000    
  -34.12500      -9.875000    
  -34.04166      -9.875000    
  -33.95834      -9.875000    
  -33.87500      -9.875000    
  -33.79166      -9.875000    
